userid d400305f-c4ff-45da-bd97-ba5d28374fd3 Task audio1 reactionTime 1.098 responseTime 5.766 |User answer| Obrzydzenie |Correct answer| zlosc |Is Correct| no
userid d400305f-c4ff-45da-bd97-ba5d28374fd3 Task audio2 reactionTime 1.611 responseTime 4.329 |User answer| Obrzydzenie |Correct answer| obrzydzenie |Is Correct| yes
userid d400305f-c4ff-45da-bd97-ba5d28374fd3 Task audio3 reactionTime 1.52 responseTime 4.874 |User answer| Lek |Correct answer| lek |Is Correct| yes
userid d400305f-c4ff-45da-bd97-ba5d28374fd3 Task audio4 reactionTime 1.138 responseTime 6.002 |User answer| Szczescie |Correct answer| szczescie |Is Correct| yes
userid d400305f-c4ff-45da-bd97-ba5d28374fd3 Task audio5 reactionTime 0.602 responseTime 7.44 |User answer| Smutek |Correct answer| smutek |Is Correct| yes
userid d400305f-c4ff-45da-bd97-ba5d28374fd3 Task audio6 reactionTime 1.82 responseTime 7.42 |User answer| Zaskoczenie |Correct answer| zaskoczenie |Is Correct| yes
userid,dc868da7-05ea-4120-8dde-6657752851d8,Task,audio1,reactionTime,6.838,responseTime,9.226,User answer,Zlosc,Correct answer,zlosc,Is Correct,yes
userid,dc868da7-05ea-4120-8dde-6657752851d8,Task,audio2,reactionTime,0,responseTime,208.88,User answer,Zlosc,Correct answer,obrzydzenie,Is Correct,no
userid,dc868da7-05ea-4120-8dde-6657752851d8,Task,audio3,reactionTime,0,responseTime,193.702,User answer,Zlosc,Correct answer,lek,Is Correct,no
userid,dc868da7-05ea-4120-8dde-6657752851d8,Task,audio4,reactionTime,0,responseTime,10.611,User answer,Zlosc,Correct answer,szczescie,Is Correct,no
userid,dc868da7-05ea-4120-8dde-6657752851d8,Task,audio5,reactionTime,0,responseTime,2.453,User answer,Zaskoczenie,Correct answer,smutek,Is Correct,no
userid,dc868da7-05ea-4120-8dde-6657752851d8,Task,audio6,reactionTime,0,responseTime,3.417,User answer,Zlosc,Correct answer,zaskoczenie,Is Correct,no
userid,dc868da7-05ea-4120-8dde-6657752851d8,Task,audio5,reactionTime,0,responseTime,3.396,User answer,Zaskoczenie,Correct answer,smutek,Is Correct,no
userid,dc868da7-05ea-4120-8dde-6657752851d8,Task,audio6,reactionTime,1.283,responseTime,7.626,User answer,Zaskoczenie,Correct answer,zaskoczenie,Is Correct,yes
userid,c6cc2401-fbbf-4139-b966-40be7f507540,Task,audio1,reactionTime,0,responseTime,1.618,User answer,Zlosc,Correct answer,zlosc,Is Correct,yes
userid,c6cc2401-fbbf-4139-b966-40be7f507540,Task,audio2,reactionTime,0,responseTime,1163.26,User answer,Zlosc,Correct answer,obrzydzenie,Is Correct,no
userid,c6cc2401-fbbf-4139-b966-40be7f507540,Task,audio3,reactionTime,0,responseTime,11.634,User answer,Zlosc,Correct answer,lek,Is Correct,no
